,Unnamed: 0,palabra,tamanyo,threshold,distancia,trie,tiempo,media_trie-distancia,mediana_trie-distancia
239,239,constitución,10000,7,l,No,1.145627951999984,0.6249117391428598,0.5321732229999725
240,240,constitución,35000,1,i,Yes,0.4670421940000153,0.4198414720000026,0.4054873329999964
241,241,constitución,35000,2,i,Yes,0.4518028710000124,0.5123279539999993,0.4518028710000124
242,242,constitución,35000,4,i,Yes,0.4845176639999806,1.4168576511428579,1.4631460990000278
243,243,constitución,35000,5,i,Yes,0.5626006990000008,2.076390308142863,2.490982109000015
244,244,constitución,35000,7,i,Yes,1.3978509730000042,2.9933966324285715,3.0825691250000062
245,245,constitución,35000,1,d,Yes,0.4865439679999781,0.4224941288571295,0.4049072369999749
246,246,constitución,35000,2,d,Yes,0.4546453959999894,0.491010060714287,0.4546453959999894
247,247,constitución,35000,4,d,Yes,0.478368004999993,1.2803274162857068,1.312394143999995
248,248,constitución,35000,5,d,Yes,0.5398596290000057,1.8289289991428497,2.1484542050000077
249,249,constitución,35000,7,d,Yes,1.2360730169999954,2.6556222078571508,2.7177673220000003
250,250,constitución,35000,1,l,Yes,0.4734796590000201,0.4433995638571458,0.4123459489999845
251,251,constitución,35000,2,l,Yes,0.460009092000007,0.4333992914285706,0.4096239880000212
252,252,constitución,35000,4,l,Yes,0.4626438700000221,0.6004009944285664,0.5569837919999827
253,253,constitución,35000,5,l,Yes,0.4797016130000031,0.7082737512857104,0.7078371430000061
254,254,constitución,35000,7,l,Yes,0.6082460970000056,0.8613747442857098,0.8790479899999895
255,255,constitución,35000,1,i,No,2.613386868999981,1.2876178195714314,1.102943504999999
256,256,constitución,35000,2,i,No,2.5388304140000173,1.3991469937142986,1.1737780440000165
257,257,constitución,35000,4,i,No,2.5683436310000047,1.4589868255714364,1.2439371769999923
258,258,constitución,35000,5,i,No,2.6501065459999893,1.43326215171428,1.1754543229999967
259,259,constitución,35000,7,i,No,3.0206873340000016,1.4962867612857178,1.226543595999999
260,260,constitución,35000,1,d,No,2.4101470219999896,1.2142586091428496,1.0005420479999998
261,261,constitución,35000,2,d,No,2.3337494390000018,1.3365794704285747,1.1621159860000034
262,262,constitución,35000,4,d,No,2.32941744499999,1.394241384857141,1.175630167999998
263,263,constitución,35000,5,d,No,2.323307061999998,1.3934614190000028,1.1785114990000238
264,264,constitución,35000,7,d,No,2.325762838000003,1.3955472245714264,1.2584566780000015
265,265,constitución,35000,1,l,No,2.331328205999995,1.1933287010000027,0.9926454219999812
266,266,constitución,35000,2,l,No,2.289285892999999,1.326110941857144,1.182117204000008
267,267,constitución,35000,4,l,No,2.3368063989999825,1.375615321428569,1.1861220050000156
268,268,constitución,35000,5,l,No,2.3489923060000137,1.3870824007142843,1.1802415390000078
269,269,constitución,35000,7,l,No,2.326826091000015,1.3823574504285818,1.1787221800000225
270,270,ancho,2500,1,i,Yes,0.0426825959999916,0.04691548528570623,0.0455435519999696
271,271,ancho,2500,2,i,Yes,0.0583297019999804,0.05709684085714527,0.0548465460000215
272,272,ancho,2500,4,i,Yes,0.2318078149999962,0.16203181699999905,0.1814783129999999
273,273,ancho,2500,5,i,Yes,0.2741412919999959,0.2360728418571448,0.2672445250000237
274,274,ancho,2500,7,i,Yes,0.3020035320000147,0.3285209667142882,0.3426818399999973
275,275,ancho,2500,1,d,Yes,0.0417166439999903,0.04928159657143576,0.0449865780000209
276,276,ancho,2500,2,d,Yes,0.0557654509999849,0.05656268042857154,0.0542635560000093
